dialog_act,utterance,predicted_dialogact
request,postcode,inform
inform,cheap,inform
request,can i get the address and phone number,inform
,hello welcome to the cambridge system,hello
inform,north,negate
inform,scottish,inform
inform,i need one in the cheap price range,inform
inform,doesnt matter,inform
request,what is the post code,request
,noise,negate
inform,any,inform
request,type of food,inform
request,address,inform
request,phone number,inform
request,phone number,inform
inform,european,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the center serving greek food,inform
request,what is the address and phone number,request
inform,south,inform
request,do you have the address,inform
inform,i dont care,inform
request,what is the address and phone number,request
inform,european restaurant,inform
inform,christmas food,inform
inform,moderate price in south,inform
thankyou,thank you goodbye,thankyou
request,can i get the address,inform
inform,mexican food,inform
inform,i want to find a restaurant in the south part of town,inform
reqalts,how about gastro pub,reqalts
request,and the post code,inform
affirm,yes,affirm
reqalts,how about italian food,reqalts
affirm,yes,affirm
affirm,yes,affirm
,cough,inform
request,may i have the phone number and address,inform
thankyou,thank you good bye,thankyou
inform,i want to find moderately priced restaurant it should be,inform
,unintelligible,inform
,tv_noise,negate
request,phone number,inform
reqalts,anything else,hello
inform,im moderate priced restaurant in the north part of town,negate
affirm,yes,affirm
request,what type of food,request
inform,i dont care,inform
inform,im looking for an moderately restaurant and it should be in the south part of town,inform
request,may i have the postcode,inform
reqalts,is there anything else,hello
,sil,inform
thankyou,thank you,thankyou
thankyou,thank you bye thank you bye,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you very much good bye,thankyou
reqalts,what about indian food,request
inform,doesnt matter,inform
inform,creative food,inform
reqalts,um how about a restaurant in the center with int,reqalts
reqalts,how about indian food,reqalts
request,can i have their address please,inform
inform,christmas food,inform
reqalts,how about asian oriental type of food,reqalts
inform,in the north part of town,negate
request,what is the phone number,request
request,phone number,inform
bye,okay thank you and good bye,ack
affirm,yes,affirm
request,uh whats the address,request
request,what about the phone number,request
request,and the phone number,inform
inform,im looking for a restaurant in the south part of town that,inform
inform,cheap restaurant,inform
inform,pan asian,inform
request,may i have the address,inform
inform,so i dont care whats the address,request
request,what area of town is it,confirm
affirm,yes expensive,affirm
request,phone number,inform
inform,south,inform
inform,restaurant in the north part of town that serves,negate
thankyou,thank you good bye,thankyou
inform,south,inform
inform,any,inform
inform,indian food,inform
confirm,does it serve kosher food,confirm
inform,im looking for a restaurant that serves romanian food,inform
affirm,yes,affirm
inform,uh the south,inform
affirm,correct,inform
inform,can i get a restaurant in the east part of town that serves italian food,inform
,child,hello
request,phone number,inform
thankyou,thank you good bye,thankyou
request,what type of food,request
thankyou,thank you good bye,thankyou
request,can i get the address,inform
request,address,inform
inform,anywhere,inform
thankyou,thank you good bye,thankyou
inform,moderately priced,inform
request,phone number,inform
request,address,inform
inform,can i find a restaurant in the south that is moderately priced,inform
negate,no,negate
inform,italian food,inform
thankyou,thank you,thankyou
,worthless system,inform
affirm,yes,affirm
repeat,again please,repeat
request,address,inform
,re,inform
thankyou,thank,inform
inform,greek,inform
request,whats the price range again,request
thankyou,thank you,thankyou
reqalts,what is there anything else,hello
inform,i want a cheap restaurant in the east part of town,inform
inform,austrian,inform
inform,austrian,inform
request,what type of food,request
request,what is the price range,request
request,and the phone number,inform
inform,in the east part of town,inform
inform,im looking for a cheap restaurant,inform
request,whats the address,request
,unintelligible,inform
inform,moderately priced restaurants,inform
inform,cheap restaurant north part of town,negate
inform,moderately priced restaurant japanese food,inform
thankyou,thank you good bye,thankyou
request,phone number,inform
thankyou,thank you good bye,thankyou
thankyou,thank you,thankyou
affirm,yes,affirm
request,address,inform
reqalts,how about british food,reqalts
inform,id like a restaurant in the south part of town that serves cuban,inform
request,could i have the phone number,request
inform,i would like vietnamese food,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,any area,inform
request,whats the phone number,request
inform,okay looking for a cheap restaurant serving caribbean food,ack
inform,it doesnt matter,inform
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
inform,dont care,inform
inform,im looking for a restaurant in the west part of town that serves caribbean,inform
reqalts,how about indian food,reqalts
,ad,inform
inform,south,inform
thankyou,thank you goodbye,thankyou
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,what about mediterranean food,inform
affirm,yes,affirm
inform,german food,inform
request,may i have the address and phone number,inform
thankyou,thank you good bye,thankyou
request,can i get the address,inform
thankyou,thank you good bye,thankyou
request,and the post code,inform
thankyou,thank you good bye,thankyou
inform,any,inform
affirm,yes,affirm
inform,south,inform
request,can i have the phone number,inform
inform,food,inform
inform,seafood,inform
request,price range,inform
thankyou,thank you goodbye,thankyou
,what,request
affirm,yes,affirm
request,kay can i get their phone number please,ack
thankyou,okay ah i think thatll do it thank you and goodbye,ack
inform,i dont care,inform
thankyou,thank you good bye,thankyou
affirm,ah yes can i get a restaurant that serves french food,affirm
affirm,ah yes that serves french food,affirm
ack,kay,ack
ack,kay,ack
inform,any type of food,inform
inform,any food,inform
request,can i have the post code,inform
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,looking for an expensive restaurant that serves,inform
reqalts,uh what about chinese food,hello
request,can i get the phone number,inform
,sil,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
request,what is the area,request
reqalts,how about asian oriental,reqalts
request,i need the address and phone number,inform
request,whats the address,request
inform,expensive,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
bye,good bye,bye
inform,doesnt matter,inform
request,what type of food,request
inform,do you have any asian oriental food,inform
request,whats the phone number,request
request,what area,request
inform,north,negate
request,what area of town,request
request,can i have the address and phone number please,inform
inform,restaurant,inform
reqalts,how about indian food,reqalts
inform,italian food,inform
inform,any,inform
affirm,yes,affirm
request,phone number,inform
request,phone number,inform
thankyou,thank you goodbye,thankyou
inform,im looking for a restaurant that serves african food,inform
request,can i have the address,inform
inform,i need an expensive restaurant that serves afghan food,inform
inform,need a restaurant serving brazilian food,inform
inform,doesnt matter,inform
reqalts,how about turkish,reqalts
reqalts,anything else,hello
inform,um i dont care about the price,inform
request,what price range,request
request,phone number,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i want a cheap hungarian food restaurant,inform
request,what is the address,request
inform,gastropub,inform
inform,i dont care about the price range,inform
inform,im looking for a moderately priced restaurant that serves canapes,inform
inform,korean food,inform
request,where are they located,inform
inform,are there any that serves portuguese food,inform
inform,are there any that serves portuguese food,inform
affirm,yes,affirm
affirm,yes do you have one with chinese,affirm
thankyou,thank you good bye,thankyou
request,kay and ah where is it located,ack
thankyou,okay thank you and goodbye,ack
inform,dont care,inform
negate,no the north,negate
thankyou,thank you,thankyou
inform,i need a cheap restaurant in the west part of town,inform
inform,turkish food,inform
reqalts,what about any area,inform
,i need,inform
inform,i need a place that serves spanish food,inform
request,the address,inform
request,phone number,inform
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,phone number,inform
inform,doesnt matter,inform
inform,i would like it to be cheap,inform
inform,turkish,inform
thankyou,thank you good bye,thankyou
bye,good bye,bye
inform,expensive mexican,inform
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,dont care,inform
reqalts,anything else gastropub,hello
inform,persian,inform
request,expensive price restaurant,inform
hello,hello im looking for a cheap,hello
inform,i dont care,inform
,serve,inform
thankyou,thank you good bye,thankyou
inform,i need a moderately priced restaurant serving world food,inform
request,what is the phone number,request
request,can i have the address,inform
request,can i have the phone number,inform
inform,looking for an expensive restaurant in the east of town,inform
affirm,ah yes,affirm
negate,no portuguese,negate
request,okay and ah can i get their phone number please,ack
thankyou,thank you good bye,thankyou
request,what part of town,request
inform,french food,inform
reqalts,is there anything else,hello
affirm,yes,affirm
request,what kind of food does it serve,confirm
inform,im looking for a moderately,inform
request,what is a phone number,request
thankyou,thank you good bye,thankyou
inform,serving catalan food,inform
request,address phone number price range,inform
request,price range,inform
request,may i have the address and phone number,inform
inform,south,inform
reqalts,anything else,hello
thankyou,thank you good bye,thankyou
inform,malaysian,inform
inform,moderately,inform
inform,moderate,inform
request,can i get the address and phone number,inform
inform,expensive restaurant,inform
inform,portuguese,inform
negate,no,negate
request,address,inform
inform,anything,hello
inform,cheap,inform
request,what is the phone number,request
inform,dont care,inform
thankyou,thank you good bye,thankyou
request,what kind of food,request
request,what area of town,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,portuguese food,inform
request,phone number,inform
