dialog_act,utterance
inform,west killeen
request,what is their phone number
inform,i am looking for a cheap restaurant that serves germ
inform,cheap italian food
bye,see you good bye
inform,i would like to find a restaurant in the west part of town
null,unintelligible
inform,a moderately priced restaurant that serves
inform,im looking for a restaurant in the center that serves corsica
negate,noise no
reqalts,how about a restaurant in the east part of town that serves indian food
inform,iam looking for a restaurant in any area that serves swiss food
request,can i have the phone nu
inform,singapore food
inform,uh creative food
bye,unintelligible bye
repeat,again please
ack,well take that one
repeat,please repeat
inform,an expensive restaurant serving cantonese food
inform,i would like to find a restaurant in any area serving international food
inform,okay i dont care about price range
inform,im looking for a moderately priced restaurant serving basque food
affirm,yes creative food
inform,moderate restaurant seafood
inform,city center
reqalts,how about one with thai food
affirm,yes in the west part of town
inform,christmas
inform,im looking for a restaurant that serves
inform,looking for a restaurant in the south part of town with german food
inform,the food
inform,breath i dont care
inform,i want a jamaican food restaurant in the center part of town
negate,no north part of town
inform,im looking for a restaurant in the west part of town that serves jamaican food
inform,like to find a restaurant in the east part of town and it should serve indian food
null,the adra
null,whats the
affirm,okay and they serve portuguese food correct
inform,price over food west part of town
inform,serving european food
confirm,does it serve swedish serve
inform,i need a moderately priced restaurant in the north part of town
inform,noise malaysian noise
reqalts,how about asian oriental type of foo
inform,im looking for a restaurant in any area
affirm,yes and i dont care about the price range
inform,do you have a place that serves turkish food
inform,find a moderately priced restaurant that serves bask food
request,uh can i have the phone number
inform,find me a restaurant in the north part of town
null,none
inform,im looking for a moderately priced restaurant that serves
request,can i have its phone number
reqalts,how about french
confirm,okay is it in the north side of town
null,new
confirm,is it in the centre of town
request,price
negate,no im looking for turkish
inform,i want vegetarian food
inform,i want a moderately priced restaurant in the south part of town
request,and what area is it
request,what area
request,what part of town is it
reqalts,what about indian type of food
inform,i would like to find a moderately priced
inform,i am looking for persian food please
request,can i have their address please
null,range that serves cana
inform,looking for a restaurant in the west part of town
request,oh where is it
inform,i want to find an expensive restaurant in the east part of t
inform,i want cantonese food
inform,i would like to find an expensive restaurant in the south part
reqalts,uh are there any restaurants serving chinese
request,their address
confirm,does it serve european type food
inform,i want a restaurant in the unintelligible that serves belgium food
reqalts,how about a restaurant that serves international food
request,okay what is the addre
null,can i
inform,im looking for a restaurant in the center of town that serves russian food
thankyou,good bye thank you
inform,moderately priced in the north part of town
null,static
inform,uh cheap moderate
request,whats the address again
request,could have its phone number
inform,how bout european
request,what is there address
inform,breath im looking for a moderately priced restaurant in the east p
inform,um italian
inform,looking for a cheap restaurant serving portuguese food
inform,german food in the centre of town
request,okay can i get their phone number
inform,portuguese food in the south part of town
thankyou,thank you have a good day
inform,can i have a caribbean food
inform,i want to find a restaurant serving world food
request,the phone numeber
inform,im looking for a moderately priced restaurant in the west part
inform,west part of town creative food
reqalts,what about mediterranean
negate,no romanian
reqalts,how about indian type of food
inform,of this restaurant
inform,id like a restaurant in the center that serves danish food
inform,im looking for a restaurant in the center of town that serves african
reqalts,how about british restaurants
inform,any area cuban food
inform,need it in north
inform,restaurant in the north part of town
inform,i want italian food
request,what kind of food is that
inform,modern european food
null,unintelligent
request,okay and h can i get the address
null,uh have
inform,i want a restaurant that serves
confirm,do they serve sea food
inform,i need a moderately priced restaurant serving world food
thankyou,okay um thatll do it thank you and goodbye
inform,id like a moderately priced restaurant in the south part of town
reqalts,is there a restaurant that serves gastropub food
inform,im looking for a restaurant in any area that
request,and the postal code
null,duration
reqalts,anything elses
inform,looking for a singaporean restaurant in the center
thankyou,um thank you goodbye
inform,i am looking for a cheap restaurant and it should serve seafood
inform,korean type food
reqalts,how about the center of town
inform,im looking for a cheap restaurant that serves austrian food
inform,restaurant west part of town
inform,the west part of town id like a cheap restaurant
