dialog_act,utterance
inform,im trying to find a cheap restaurant in the east of town
inform,what about the other moderately priced restaurant in the south part
negate,no
reqalts,next one
thankyou,thank you good bye
request,phone number
hello,hi im looking for a moderately priced restaurant in the south part of town
request,what is the address
thankyou,thank you good bye
inform,i want to find a moderately priced restaurant that serves vietnamese food
hello,hello
affirm,uh yes international food please
request,what is the phone number
thankyou,thank you goodbye
affirm,yes
request,what is the phone number
inform,cheap restaurant
inform,dont care
affirm,yeah im looking for a cheap restaurant
request,what kind of food do they serve
inform,moderately priced
inform,chinese food
negate,no im looking for thai food
request,what is the area
inform,south
inform,italian
null,uh
request,what is their phone number
request,can i have its post code
inform,i need asian how bout asian food
negate,no
inform,uh looking for a restaurant in any area and that needs to serve
inform,is there greek greek food in the moderately price range
inform,chinese
null,noise
affirm,yes
request,type of food
request,address
reqalts,how about asian oriental type of foo
request,whats the address
thankyou,thank you good bye
inform,north
inform,restaurant west
reqalts,how about korean
inform,north american
request,and whats the price range
request,can i have the address
inform,im looking for a cheap restaurant in the north part of town
inform,cheap
request,whats the address
request,what is the price range
request,what kind of food
inform,hungarian
inform,south
null,unintelligible
inform,scandanavian
inform,south part of town
request,area
inform,italian
request,okay can i have the address and the phone number please
thankyou,thank you good bye
inform,i am looking for a moderate priced restaurant in the west of town
inform,in the north part of town
request,address
inform,in the south
thankyou,thank you good bye
inform,im looking for a moderately priced restaurant that serves tur
inform,russian
request,can i have its phone number
reqalts,how about a cheap asian oriental restaurant
inform,id like an expensive restaurant that serves bat food
inform,im looking for a restaurant that serves corsica food
request,post code
inform,any any part of town
request,what type of food
inform,the north part of town
inform,im looking for a restaurant that serves english food
thankyou,thank you good bye
inform,im looking for a restaurant in the east part of town
inform,south
request,what is the phone number
reqalts,is there anything else
inform,doesnt matter
inform,i dont care noise
thankyou,thank you goodbye
request,address
reqalts,uh how about italian
inform,okay international food
thankyou,thank you good bye
inform,could i have a restaurant that serves asian oriental food
negate,no
reqalts,okay how bout thai food
reqalts,is there anything else
inform,european food
thankyou,thank you good bye
thankyou,thank you good bye
request,whats the post code
reqalts,how bout indian food
inform,west
request,address
null,noise
inform,mexican food
inform,anywhere
inform,east
request,phone number
request,the postcode
thankyou,thank you good bye
inform,dont care
thankyou,thank you good bye
inform,expensive
thankyou,thank you good bye
inform,mediterranean
request,area
reqalts,how about moderately priced
thankyou,thank you good bye
null,thats fine
inform,vegetarian
inform,im looking for a moderately priced restaurant in the east part
request,whats the phone number
inform,french food
thankyou,thank you good bye
request,and the phone number
request,whats their address
inform,french
thankyou,thank you good bye
inform,dont care
thankyou,thank you good bye
affirm,yes
thankyou,thank you good bye
inform,any kind
thankyou,thank you good bye
request,where is it located
affirm,yes
inform,i dont care
inform,asian
thankyou,thank you good bye
reqalts,is there anything else
null,unintelligible
thankyou,thank you good bye
inform,a cheap
request,can i have an address and phone number
thankyou,thank you goodbye
request,phone number
thankyou,thank you goodbye
affirm,yes
request,address
request,whats the price range
inform,cheap australian
inform,mediterranean
null,unintelligible
request,phone number
inform,vietnamese
request,address
reqalts,how about french
confirm,does it serve spanish food
request,what is the phone number
request,post code
inform,cheap
request,phone number
inform,irish food
thankyou,thank you good bye
request,whats the address
inform,i dont care
request,whats the address
inform,chinese
inform,british
inform,dont care
thankyou,thank you good bye
inform,i dont care
null,sil
affirm,yes
request,address
inform,i dont care
null,okay
inform,any area
request,unintelligible part of town
