dialog_act,utterance
request,may i have its number
inform,im looking for moderately priced restaurant that serves world food
thankyou,um thank you goodbye
confirm,is that in the north part of town
inform,im looking for something serving vegetarian food
inform,im looking for a cheap
request,what are the address
inform,im looking for an indian restaurant in the north part of town
affirm,yes that serves corsica food
request,okay and ah whats the price range
request,the address and phone number
confirm,okay is it moderately priced
affirm,yea you can give me the address
request,what is the phone number and price range
affirm,uh yes a cheap restaurant
inform,im looking for a cheap spanish restaurant
reqalts,is there anything ele
inform,im looking for mediterranean food
inform,im looking for jamaican food in the south part of town
inform,do you have christmas food
inform,malaysian food in the south part of town
request,whats the cost
inform,korean food expensive
inform,australasian
inform,an expensive restaurant in the south part of town
inform,im looking for a restaurant in the west part of town that serves moroccan food
inform,noise any area
inform,that serves chinese food
request,um whats the address and post code
inform,i want a cheap restaurant in the west part of town
inform,can i have a thai restaurant
inform,restaurant in the north part of town that serves french
inform,im looking for a moderately prices restaurant
request,what is the type of food
null,i want to find
inform,im looking for an expensive restaurant with venetian food
request,alright what is the address
reqalts,what about italian
inform,polish
null,is there
inform,do you have any asian oriental food
inform,help me decide what venues are available in the west part of town serving any ty
inform,serving jamaican food
inform,moderately priced in the south part of town
inform,i need a restaurant serving modern european food
request,what area is it in
inform,asian oriental
inform,i want to find a restaurant in the center that serves lebanese food
ack,kay um
inform,i am looking for catalin food
inform,persian food
inform,find me a restaurant in the north part of town
inform,im looking for a turkish restaurant in the east part of town
reqalts,how about a chinese restaurant
inform,i would like to find a moderately priced restaurant
inform,afghan
request,cool whats the phone number
request,alright whats the phone number
inform,im looking for a moderately priced restaurant in the west part
confirm,does it serve halal food
reqalts,how about a restaurant serving vietnamese food
null,what is it by
inform,im looking for an indian restaurant
inform,halal food
affirm,thats correct gastropub food
request,area train
inform,can i find a restaurant
request,the food of the venue
inform,spanish food in any area
reqalts,what about european
inform,i want to find a moderately priced restaurant that serves moroccan food
null,whats the other one
inform,moderately priced priced restaurant
inform,expensive restaurant scottish food
request,what area is that in
request,may i have the address and the type of food
inform,uh indian
null,popular
inform,restaurant south part of town international food
inform,i want sea food
request,may i get the address
bye,ok thank you goodbye
inform,alright can i get chinese food
reqalts,how about modern europone
inform,looking for a restaurant in any area
request,oh so what is the phone number
inform,center of town
request,may i have the phone number and post code please
inform,the indian food
inform,turkish type of food
request,may i have it its address
inform,id like a restaurant in the south part of town that serves cuban
inform,im looking for a moderately priced restaurant in the east part
reqalts,how about korean food
request,may i have the phone number talking
reqalts,uh what about chinese food
inform,british expensive
inform,find a restaurant in the center of town
inform,its in the south
null,spice
affirm,yes mexican food
inform,moderately priced restaurant in east part of town
request,what is the price
inform,im looking for vegetarian food on the east part of town
null,what was
inform,i would like an expensive restaurant that serves
inform,a cheap restaurant east part of town
inform,im looking for a cheap restaurant in the north part of town
thankyou,um okay thank you good bye
inform,im looking for a cheap restaurant that serves international
inform,s e a f o o d
inform,im looking for an expensive restaurant in the east
request,do you have a phone number
inform,find a cheap restaurant
inform,i dont care about the price range
negate,no goodbye thank you
inform,can you find me a place that has thai food
reqalts,what about chinese in the south part of town
inform,asian restaurant
request,address and food
inform,cheap restaurant in the north
reqalts,how about a restaurant that serves french food
null,what is the uh
inform,any range is fine
request,okay and the phone number please
inform,uh id like a cheap restaurant in the
inform,i want to find a moderately priced restaurant in the east part of town
request,can i have their address and phone number
deny,not european fusion
inform,shit served swiss food
inform,i dont care is there any north part of town
request,phone number area
inform,i need a restaurant in the east part of town that serves canape food
inform,expensive restaurant european food
deny,dont want that
reqalts,another one
request,and can i get their address
inform,north american type of food
inform,in the north part of town that serves
affirm,yea the area
reqalts,how about in the center
null,than
negate,no im looking for a restaurant in the south part of town that serves
request,ah where is it
inform,korean food moderate price
request,okay what type of food do they serve
null,ring
inform,french food any french food
request,what prices
inform,yea im looking for a restaurant in the moderate price range serving vietnamese food
null,inaudible
inform,are there any british rest british food
reqalts,and anything else
inform,is there not a mexican restaurant near by
negate,no caribbean food
inform,how bout thai
inform,looking for a cheap restaurant that serves steak house food
inform,looking for vietnamese food
confirm,er do they serve eritrean food
inform,breath id like a cheap restaurant in the north part of town
inform,expensive
request,what is address and phone number
inform,find irish food
null,sorry
inform,im looking for a moderately priced restaurant that serves european food
inform,traditional food
inform,do you have prezzo
inform,looking for an expensive restaurant that
request,can i get the address and post code
inform,an expensive unintelligible
inform,im looking for a moderately priced restaurant in the
inform,expensive korean food
inform,i want to find a moderately priced restaurant serving spanish food
request,okay and what area is that
inform,a restaurant serving french food
request,give me the phone number
affirm,yes yea
request,what is the address phone number and type of food
inform,im looking for a cheap restaurant in the west part of
inform,asian oriental food
request,um whats the phone number
reqalts,if there is no such venue how about italian type of food
request,i want the address and ph
inform,id like to find a cheap restaurant in the west part of town
affirm,yes cheap
inform,something serving swiss food
inform,cheap restaurant that serves turkish food
inform,yea i would like korean food
inform,uh the centre
request,whats the phone number for that place
inform,id like a restaurant in the east part of town
confirm,is there a portugeuse food
confirm,do they have turkish food
inform,i want to find a restaurant in the east part of town that serves basque food
inform,it doesnt matter i need the north part of town
request,what is the phone number a
request,what area of town are they located
repeat,go back
inform,thai type of food
inform,it should serve fusion food
inform,im looking at a cheap restaurant and it should be
inform,moderately priced swedish food
null,blow
request,thank you what is the phone number
request,whats the address again
request,address and
thankyou,okay um thatll do it thank you and goodbye
inform,im looking for a cheap hungarian restaurant
inform,moderately priced in south part
affirm,uh yes i would like a restaurant in the center and it should serve jamaica
reqalts,what about chinese
request,phone number again
inform,moderate european food
inform,im looking for french food
inform,im looking for a restaurant in the east part of town that serves british food
inform,uh cheap restaurant in the north part of town
inform,i would like mexican food
negate,no im looking for turkish
request,can i get their phone number please
negate,no im looking for a moderately priced restaurant that
request,location
inform,serving cuban food
inform,breath i dont care
affirm,yes can i have
reqalts,how about european type food
reqalts,uh how about moderately priced
null,expen
null,cannabis
inform,breath i am looking for a venue that serves gastropub food
inform,can i get a restaurant
request,can i have the address
null,aristrain
request,their address
request,and what area is it
inform,i want a restaurant that serves basque food
inform,looking for a moderately priced restaurant in the east
inform,i want a restaurant in the north part of town that serves french food
reqalts,do you have a restaurant that serves korean food
reqalts,how about a turkish restaurant anywhere
inform,im looking for a restaurant in any area that serves japanese
request,and can i have the post code please
inform,noise north part of town
inform,im looking for a restaurant in the east part of town that serves indian food
request,can i get the phone number and price range
inform,turkish food any price range
inform,restaurant moderate price
affirm,yeah i need to find
request,what part of town are they in
inform,is there a venue in the west part of town
inform,thai
reqalts,how about indian food
inform,gastropub restaurant
inform,moderately priced moderately priced
request,and whats their post code
null,suggestions
inform,expensive restaurant it should serve persian food
request,in the wouth part of town
inform,im looking for a italian restaurant in east part of town
inform,chiquito
inform,cheap european food
request,what is the phone number and address
null,uh what is the
request,may i have their phone number
inform,im looking for a restaurant in any area that serves austrian food
negate,no okay thats fine what about french food
request,and what type of food do they serve at pizza hutt
affirm,noise yes
request,whats the address and post code
confirm,is there a thai restaurant in the west of town
inform,i want to find a moderately priced restaurant and it should be in the north part of town
inform,im looking for english food in the west part of town
inform,expensive noise
request,post code of the venue
inform,gastropub type food
inform,italian food in the west part of town
inform,i want to find an expensive restaurant that serves hungarian food
inform,i want a moderately priced restaurant in the north town
inform,chinese food im looking for sea food
reqalts,is their anything else
reqalts,uh is there anything else
ack,breath okay how about thai food
reqalts,how about spanish
inform,moderate priced restaurant that serves spanish food
null,aw give me the damn code
inform,i am looking for a restaurant in the center
