dialog_act,utterance
inform,any
inform,im looking for a restaurant in the south part of town that serves vietnamese food
request,what is the address
inform,is there mediterranean food
thankyou,thank you thank you
request,phone number
thankyou,thank you good bye
inform,thai
reqalts,is there anything else
request,address and phone number
inform,west
request,what is the phone number
thankyou,thank you good bye
null,noise
thankyou,thank you good bye
reqalts,how about an expensive restaurant
request,phone number
request,phone number
inform,moderately priced restaurant
inform,south
inform,moderate
request,phone number
request,address
inform,expensive restaurant
request,whats the address
reqalts,how about asian oriental food
bye,good bye
inform,dont care
inform,hungarian food
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town
inform,south
request,what is the phone number
negate,no id like
request,address
inform,cheap
inform,south part of town
inform,european food
inform,any
inform,im looking for a cheap restaurant in the north part of town
inform,cheap restaurant
affirm,yes
request,whats the post code
reqalts,anything else
reqalts,how about vietnamese type of food
request,okay show me the address
null,sil
reqalts,how about italian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,any
thankyou,thank you good bye
request,price range
reqalts,is there anything else
request,address
affirm,yes
request,may i have the phone number
request,address
inform,im looking for a restaurant in any area that serves kor
inform,north
request,and what is the post code
thankyou,thank you good bye
inform,find me a moderately priced restaurant in the north part of town
inform,im looking for a moderately priced restaurant serving cuban food
affirm,yes
inform,west part of town
thankyou,thank you good bye
bye,thanks good bye
request,address
affirm,yes
request,and their phone number
request,could i have the address phone number and
inform,i dont care noise
thankyou,thank you good bye
request,and the post code
thankyou,thank you good bye
inform,brazilian food
inform,i dont care
inform,gastropub
inform,basque food
inform,moderately priced
inform,im looking for a restaurant that serves world food
negate,no im looking for pan asian food
request,i want to find the address
inform,dont care
request,what type of food
inform,east
null,noise
reqalts,how about british food
inform,it doesnt matter
request,and what is their post code
thankyou,thank you good bye
inform,west
request,what is the address
reqalts,how about gastropub type of food
inform,spanish
thankyou,thank you goodbye
thankyou,thank you good bye
reqalts,how about korean food
null,uh what is the
thankyou,thank you good bye
thankyou,okay thank you good bye
inform,food
affirm,yes
thankyou,thank you good bye
request,what is the phone number
request,can i have the phone number
inform,turkish food
negate,no
inform,uh im not interested in the type
inform,moderately priced restaurant in the west part of town
inform,persian food
request,address
thankyou,thank you good bye
thankyou,thank you
request,okay whats the phone number
null,noise
inform,expensive restaurant serves
inform,im looking for a restaurant moderately pri
inform,gastro pub
inform,im looking for a cheap restaurant that serves malaysian food
inform,fancy restaurant moroccan food
inform,any area
inform,im looking for a restaurant in the south part of town it should serve kosher food
null,noise
request,whats the address
inform,thai
inform,moderate
null,noise
request,may i have the phone number
request,what is the addre
inform,japanese food
request,may i have the address please
null,um i want
thankyou,thank you bye
thankyou,thank you good bye
inform,food
reqalts,no there is no such venue how about portuguese type of food
inform,in the south side
affirm,yes
inform,id like a cantonese resturant in the south part of town
request,what is their address
inform,south
request,address phone number and post code
inform,doesnt matter
inform,id like a cheap restaurant in the west part of town
request,phone number
inform,spanish food
inform,i dont care
request,the address
thankyou,thank you good bye
inform,i need a restaurant in the east part of town that serves world food
inform,im looking for turkish food in the center
inform,west
request,type of food
request,and the post code
null,and
request,the phone number
request,what is the address
inform,spanish
inform,i want something in the south
request,whats the address
null,noise
request,address
request,what is the phone number
request,phone number
inform,moderate
inform,spanish
request,and what is the phone number
reqalts,how about italian
request,cool whats the phone number
thankyou,thank you good bye
inform,what about international type food
negate,no im looking in the south of the town
request,phone number
inform,im looking for a moderately priced restaurant in the south part of town
inform,and moderately priced
request,may i have the address and phone number please
request,whats the address
inform,moderate
request,what is the address and phone number
request,can i have the phone number
request,whats the phone number
inform,im looking for moderately priced restaurant that serves
request,whats the phone number
null,noise
negate,no
request,address
request,give me the address and phone number
inform,moderate
request,whats the address
inform,expensive restaurant
inform,moderate
thankyou,thank you good bye
inform,portuguese
inform,french food
thankyou,thank you good bye
inform,find a restaurant in the center of town
request,um could i have the address
inform,chinese food
request,whats the price range
request,whats the phone number
request,what is the address
inform,romanian food
affirm,ye
inform,north american food
request,whats the phone number and address
inform,west part of town
request,can i have its post code
inform,uh im looking for an expensive restaurant in the east part of town
inform,lets see im looking for a restaurant in the north part of town that serves vietnamese food
inform,english food
thankyou,thank you good bye
thankyou,thank you good bye
deny,wrong
request,what is the phone number
thankyou,thank you good bye
thankyou,thank you good bye
null,system
inform,doesnt matter
inform,im looking for an expensive restaurant that serves mediterranean food
request,whats the phone number for that restaurant
inform,moderate price
reqalts,how about chinese food
inform,italian type of food
negate,no
request,what part of town
inform,it doesnt matter
thankyou,thank you good bye
negate,no
affirm,ye
inform,that can serve kosher food
inform,south
thankyou,thank you good bye
inform,moroccan food
thankyou,thank you good bye
request,address
inform,i need a cheap restaurant
inform,im looking for vietnamese food
reqalts,how about chinese
inform,food
request,what part of town is it
reqalts,how about vietnamese
request,in what part of town
inform,italian food
inform,scottish
inform,any price range
inform,im looking for a restaurant that serves jamaican food
thankyou,thank you goodbye
request,what is the phone number
null,and whats the other one
request,awesome um whats the number
thankyou,thank you good bye
request,phone number
inform,west
bye,good bye
inform,i am looking for a moderately priced restaurant
reqalts,how about mediterranean
request,price range
inform,i dont care
thankyou,thank you good bye
thankyou,thank you good bye
inform,a cheap
inform,west
reqalts,what about asian oriental food
inform,any area
inform,is there an expensive restaurant that serves korean food
inform,modern european
inform,how bout thai food
inform,any
thankyou,thank you good bye
request,whats the address phone number and price range
negate,no
thankyou,thank you good bye
inform,south part of town
inform,restaurant in the west part of town that serves
thankyou,thank you good bye
request,what kind of food is that
inform,im looking for an expensive restaurant in the south part of town
inform,i dont care
request,phone number
inform,chinese food
request,and what kind of food
inform,hungarian food
inform,any type
inform,spanish food
inform,the north part of town
inform,dont care
inform,any price range
inform,gastro pub
thankyou,thank you good bye
inform,restaurant in the south part of town
reqalts,how about vietnamese food
request,phone number
request,do you have the phone number of the address
thankyou,thank you good bye
inform,dont care
null,noise
inform,south
request,whats the address and phone number
request,can i have the phone number
inform,okay then any
null,noise
thankyou,thank you good bye
request,and what is the price range
request,what type of food is served
request,whats their phone number
request,phone number
request,whats the post code
request,what is the address
inform,i want a korean restaurant
request,what is the address and telephone number
thankyou,thank you good bye
reqalts,how about vietnamese food
inform,dont care
inform,italian food
request,thank you what is the phone number
reqalts,how about north american food
affirm,yes
request,what part of town is it in
inform,i dont care
reqalts,how about any part of town
inform,im looking for a cheap restaurant
reqalts,what about asian oriental food
thankyou,thank you good bye
thankyou,thank you good bye
request,and whats the post code
request,whats the address
request,kay can i get the phone number
request,okay what is the phone number and area of the venue
inform,any price range
thankyou,thank you good bye
inform,danish
request,type of food
null,noise
thankyou,thank you
thankyou,thank you good bye
null,unintelligible
inform,im looking for a malaysian restaurant in the north part of town
thankyou,thank you good bye
inform,any part
request,what is their address
null,static
inform,im looking for a restaurant that serves tuscan food
inform,does not matter
affirm,yes
request,whats the phone number
null,noise
request,what is their address and telephone number
affirm,yes
inform,gastropub
thankyou,thank you good bye
request,phone number
inform,italian food in the south part of town
inform,im looking for um
inform,i dont care
request,do you have the address
inform,can you find a modern european restaurant
thankyou,thank you good bye
reqalts,how about portuguese
request,what is the address
null,noise
inform,south
thankyou,thank you good bye
inform,chinese food
request,address
affirm,yes
request,can i have the address of the venue
inform,im looking for a moderately priced restaurant that serves christmas food
affirm,yes
inform,cheap restaurant in the west part of town
thankyou,thank you good bye
inform,european
reqalts,is there anything else
inform,im looking for a restaurant in the south part of town serving
thankyou,thank you good bye
inform,looking for something on the south side
thankyou,thank you good bye
inform,mediterranean food
inform,i dont care
inform,i want a restaurant in the north par
thankyou,thank you good bye
null,7:30
request,what is the address
request,the address
request,phone number
reqalts,how about chinese food
request,whats the address
request,phone number
inform,expensive
thankyou,thank you good bye
inform,indian
