dialog_act,utterance
inform,bistro food
affirm,yes
inform,moderately priced restaurant in the south part of town
inform,mediterranean
request,type of food
request,whats the phone number
inform,part of town that serves chinese food
inform,i need one in the cheap price range
null,okay
negate,no im sorry it should be expensive
request,what type of food
reqalts,how about a cheap asian oriental restaurant
inform,cheap restaurant
reqalts,how about vietnamese
inform,moderate price in south
inform,european food
inform,im looking for a moderately priced restaurant that serves turkish food
request,and the phone number
reqalts,how about italian food
reqalts,okay how about italian food
null,may i
reqalts,is there another restaurant in the west of town
inform,i dont care tv_noise
inform,im moderate priced restaurant in the north part of town
request,and what type of whats the phone number
inform,breath id like to find a moderately priced restaurant in the west part of
inform,im looking for an moderately restaurant and it should be in the south part of town
inform,um want to find a moderately priced restaurant in the
request,post code
inform,moderately priced
inform,i want a polynesian restaurant in the north part of town
inform,restaurant serving english food
request,okay and uh the phone number
inform,and asian
inform,french
inform,south part of town
affirm,yes expensive
reqalts,how about in any area
inform,italian
reqalts,what about gastropub type of foo
reqalts,how about moroccan food
inform,im looking for a restaurant that serves romanian food
null,okay how about
inform,greek food
inform,chinese food
inform,uh im looking for a cheap restaurant in the south part of town
inform,i want to find an expensive restaurant that
request,could i have the address and phone number
request,could i have the phone number
inform,i need a moderately priced restaurant
reqalts,how about european
inform,corsica
inform,im looking for a cheap restaurant serving kosher food
request,may i have the address and post code
inform,um i want a restaurant in the north side of town and i want to eat christmas food
request,how about the address
inform,austrian
inform,cross over food
reqalts,how about indian
inform,international
inform,id like a cheap restaurant that serves steakhouse
inform,moderate restaurant catalan food
inform,gastropub
inform,okay looking for a cheap restaurant serving caribbean food
request,and their address
inform,expensive expensive
inform,cheap restaurant in he north part of town
request,what type of venue
inform,does not matter
request,where is it
inform,what about mediterranean food
inform,im looking for a spanish restaurant
inform,im looking for a spanish food restaurant
affirm,perfect
inform,i want to find a moderately priced restaurant and it should be in the
request,whats the addre
inform,austrian food
inform,ah can i find a unintelligible restaurant serving scotch food
inform,chinese chinese
thankyou,thank you and goodbye
inform,im looking for an expensive restaurant in the east part of town
inform,im looking for a cheap restaurant serving russian food
request,i need a special restaurant serving christmas food
inform,find restaurant in north part of town serving fusion food
inform,find restaurant in north part of town serving asian
inform,danish
hello,hello
inform,ah i dont care
request,what area of town
inform,im looking for a restaurant that serves african food
inform,im looking for an expensive restaurant that serves european food
inform,i want a cheap hungarian food restaurant
inform,im looking for a moderately priced restaurant that serves canapes
inform,belgium
negate,no i want belgium food
request,where are they located
inform,im looking for vietnamese food in the north part of town
reqalts,how about the west area
reqalts,what about chineese
request,okay i need the address
inform,barbecue food west part of town
thankyou,noise thank you good bye
affirm,yes in the north part of town
reqalts,how about italian
confirm,does it serve spanish food
inform,restaurant in the east part of town japanese
null,and
inform,the west part of town i want
inform,persian
request,can i have the address and post code
null,how about unintelligible
request,what do they serve
inform,im looking for a restaurant with thai type
affirm,ah yes im looking for persian food though
negate,no moderately priced
request,phone number please
inform,french food
reqalts,how about somewhere serving modern european
inform,im looking for a restaurant that serves modern european food
confirm,is it moderately priced
request,okay could you give me the phone number
inform,south of town
inform,cheap restaurant west part of town
reqalts,how about mediterranean
request,and whats their phone number
inform,canapes
inform,im looking for spanish food
thankyou,thank you and good
inform,i want to find a restaurant in any area
request,where is one
null,so
reqalts,what about the center of town
inform,im looking for a restaurant in the west part of town that serves danish food
thankyou,thank you bye
inform,i would like a moderately priced restaurant
bye,okay well thank you good bye
inform,restaurant south
request,where is the location
hello,hi i am looking for a moderately priced restaurant in the east part of town
request,what kind of food do they have there
inform,crossover food in the north part of town
request,what is the phone number of that venue
thankyou,okay thank you
reqalts,um how about italian food
reqalts,is there a restaurant serving italian food
request,what is their address and phone number
request,i can have the address the phone number and the post code of the
inform,south south
thankyou,uh thank you good bye
inform,catalan food
inform,i want a restaurant in the west part of town that serves jamaican
inform,the center of town
inform,im looking for moderately priced restaurant in the north part
inform,modern european foo
null,the addre
inform,may i have the cheap restaurant in the south part of town
reqalts,uh how about chinese food
inform,im looking for chinese food
null,i am
inform,restaurant in the south part of town
inform,im looking for a restaurant in the center serving
inform,i want mediterranean food
null,im sorry
inform,canope food
bye,okay cool thank you good bye
inform,east part of town serving swedish food
inform,south noise
request,phone number and price range
negate,no im looking for a unintelligible that serves english food
reqalts,what about spanish food
inform,whats a cheap restaurant on the east part of town
request,and post code
hello,hi im looking for a restaurant in the east art of town
inform,i dont know
inform,for a restaurant
request,address and type of food
reqalts,do you have anything else
inform,im looking for cheap german food
inform,may i have a moderately priced restaurant serving english
inform,scandinavian
inform,im looking for a cheap restaurant that serves swedish food
request,what type of food does the venue serve
inform,romanian food
request,address and price range
