dialog_act,utterance
null,sil
inform,any
thankyou,thank you good bye
inform,asian oriental food
inform,moderately priced
request,phone number
inform,mediterranean
inform,im looking for
request,and what kind of food do they serve
affirm,yes
inform,north
inform,canape
inform,um moderate
request,what is its address
reqalts,is there anything else
request,address
thankyou,thank you good bye
inform,im loooking for a restaurant serving vietnamese type of food
thankyou,thank you good bye
request,and the post code
thankyou,thank you goodbye
inform,i want to find a moderately priced restaurant that serves cuban food
thankyou,okay thank you good bye
inform,indian food
affirm,yes
request,whats the address
request,whats the phone number
null,sil
request,the phone number
inform,any price range
request,what is the address
inform,sea food
request,what is the address
inform,i want a restaurant in the center of town
null,adress
inform,im looking for a restaurant in the center of town that serves
null,sil
request,what is the address
inform,cantonese food
request,address
inform,i dont care
inform,an expensive unintelligible
request,whats the phone number
reqalts,how about the west of town
request,whats the address
inform,uh italian
request,phone number
reqalts,how about turkish food
inform,persian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,any
thankyou,thank you good bye
inform,it doesnt matter
affirm,right
inform,cheap restaurant
null,noise
inform,polynesian
inform,indian
inform,any kind of food
thankyou,thank you goodbye
inform,unusual food
reqalts,can i get the next one
request,area
inform,i want to find a restaurant in the south part of town that serves in
inform,breath i want to find an expensive restaurant and it sh
inform,restaurant serving spanish food
thankyou,thank you good bye
thankyou,thank you good bye
request,address
inform,romanian
request,whats the address
inform,chinese
request,phone number
thankyou,thank you good bye
inform,chinese
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
reqalts,anything else
reqalts,how about international food in any price range
thankyou,thank you good bye
inform,north american type food
inform,restaurant
inform,im looking for a restaurant that serves unintelligible food
reqalts,anything else
request,address
inform,im looking for a cheap restaurant in east part of town
inform,a spanish restaurant in the center
hello,hi i need a restaurant in any area
inform,spanish
inform,noise i would like to find a moderately priced restaurant in the south of town
inform,i want asian oriental food
null,unintelligible
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you goodbye
inform,chinese
inform,dont care
request,what type of food
request,whats the address
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,how about in any area
affirm,yes
inform,im looking for a cheap restaurant serving modern european type of food
thankyou,thank you good bye
inform,caribbean food
negate,no catalan food
inform,i dont care
affirm,yes
inform,moderate
request,address
inform,moderately priced in the west part of town
inform,lebanese
inform,cheap restaurant
inform,i want to find a cheap re
request,phone number
null,gonville and caius college
null,the
request,address
reqalts,how about european food
request,phone number
request,phone number
reqalts,how about vietnamese food
inform,italian food
affirm,yes
inform,i want to find a restaurant in the west part of town that serves vietnamese food
inform,i dont care
request,address
affirm,yes that serves chinese food
inform,international
request,address
thankyou,thank you good bye
thankyou,thank you good bye
inform,it doesnt matter
inform,i want to find a moderately priced restaurant in the west part town
request,phone number
inform,moroccan food
request,and type of food
null,sil
request,and the post code
inform,south part of town persian food
request,phone number
request,tell me the post code
inform,south
inform,pan asian food
inform,the north part of town
request,what type of food is it
affirm,yes
inform,i dont care
request,what type of food
inform,im looking for moderately priced restaurant serving austrian food
thankyou,thank you good bye
inform,i am looking for a moderate priced restaurant in the west of town
affirm,yes
inform,mediterranean food
request,may i have the address
negate,no
null,noise okay
inform,i am looking for an expensive restaurant on the east part of town
