dialog_act,utterance,predicted_dialogact
request,postcode,inform
inform,cheap,inform
request,can i get the address and phone number,inform
,hello welcome to the cambridge system,inform
inform,north,inform
inform,scottish,inform
inform,i need one in the cheap price range,inform
inform,doesnt matter,inform
request,what is the post code,inform
,noise,inform
inform,any,inform
request,type of food,inform
request,address,inform
request,phone number,inform
request,phone number,inform
inform,european,inform
request,whats the phone number,inform
thankyou,thank you good bye,inform
inform,im looking for a restaurant in the center serving greek food,inform
request,what is the address and phone number,inform
inform,south,inform
request,do you have the address,inform
inform,i dont care,inform
request,what is the address and phone number,inform
inform,european restaurant,inform
inform,christmas food,inform
inform,moderate price in south,inform
thankyou,thank you goodbye,inform
request,can i get the address,inform
inform,mexican food,inform
inform,i want to find a restaurant in the south part of town,inform
reqalts,how about gastro pub,inform
request,and the post code,inform
affirm,yes,inform
reqalts,how about italian food,inform
affirm,yes,inform
affirm,yes,inform
,cough,inform
request,may i have the phone number and address,inform
thankyou,thank you good bye,inform
inform,i want to find moderately priced restaurant it should be,inform
,unintelligible,inform
,tv_noise,inform
request,phone number,inform
reqalts,anything else,inform
inform,im moderate priced restaurant in the north part of town,inform
affirm,yes,inform
request,what type of food,inform
inform,i dont care,inform
inform,im looking for an moderately restaurant and it should be in the south part of town,inform
request,may i have the postcode,inform
reqalts,is there anything else,inform
,sil,inform
thankyou,thank you,inform
thankyou,thank you bye thank you bye,inform
thankyou,thank you good bye,inform
thankyou,thank you very much good bye,inform
reqalts,what about indian food,inform
inform,doesnt matter,inform
inform,creative food,inform
reqalts,um how about a restaurant in the center with int,inform
reqalts,how about indian food,inform
request,can i have their address please,inform
inform,christmas food,inform
reqalts,how about asian oriental type of food,inform
inform,in the north part of town,inform
request,what is the phone number,inform
request,phone number,inform
bye,okay thank you and good bye,inform
affirm,yes,inform
request,uh whats the address,inform
request,what about the phone number,inform
request,and the phone number,inform
inform,im looking for a restaurant in the south part of town that,inform
inform,cheap restaurant,inform
inform,pan asian,inform
request,may i have the address,inform
inform,so i dont care whats the address,inform
request,what area of town is it,inform
affirm,yes expensive,inform
request,phone number,inform
inform,south,inform
inform,restaurant in the north part of town that serves,inform
thankyou,thank you good bye,inform
inform,south,inform
inform,any,inform
inform,indian food,inform
confirm,does it serve kosher food,inform
inform,im looking for a restaurant that serves romanian food,inform
affirm,yes,inform
inform,uh the south,inform
affirm,correct,inform
inform,can i get a restaurant in the east part of town that serves italian food,inform
,child,inform
request,phone number,inform
thankyou,thank you good bye,inform
request,what type of food,inform
thankyou,thank you good bye,inform
request,can i get the address,inform
request,address,inform
inform,anywhere,inform
thankyou,thank you good bye,inform
inform,moderately priced,inform
request,phone number,inform
request,address,inform
inform,can i find a restaurant in the south that is moderately priced,inform
negate,no,inform
inform,italian food,inform
thankyou,thank you,inform
,worthless system,inform
affirm,yes,inform
repeat,again please,inform
request,address,inform
,re,inform
thankyou,thank,inform
inform,greek,inform
request,whats the price range again,inform
thankyou,thank you,inform
reqalts,what is there anything else,inform
inform,i want a cheap restaurant in the east part of town,inform
inform,austrian,inform
inform,austrian,inform
request,what type of food,inform
request,what is the price range,inform
request,and the phone number,inform
inform,in the east part of town,inform
inform,im looking for a cheap restaurant,inform
request,whats the address,inform
,unintelligible,inform
inform,moderately priced restaurants,inform
inform,cheap restaurant north part of town,inform
inform,moderately priced restaurant japanese food,inform
thankyou,thank you good bye,inform
request,phone number,inform
thankyou,thank you good bye,inform
thankyou,thank you,inform
affirm,yes,inform
request,address,inform
reqalts,how about british food,inform
inform,id like a restaurant in the south part of town that serves cuban,inform
request,could i have the phone number,inform
inform,i would like vietnamese food,inform
thankyou,thank you good bye,inform
request,what is the address,inform
thankyou,thank you good bye,inform
inform,any area,inform
request,whats the phone number,inform
inform,okay looking for a cheap restaurant serving caribbean food,inform
inform,it doesnt matter,inform
thankyou,thank you good bye,inform
thankyou,thank you goodbye,inform
inform,dont care,inform
inform,im looking for a restaurant in the west part of town that serves caribbean,inform
reqalts,how about indian food,inform
,ad,inform
inform,south,inform
thankyou,thank you goodbye,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,what about mediterranean food,inform
affirm,yes,inform
inform,german food,inform
request,may i have the address and phone number,inform
thankyou,thank you good bye,inform
request,can i get the address,inform
thankyou,thank you good bye,inform
request,and the post code,inform
thankyou,thank you good bye,inform
inform,any,inform
affirm,yes,inform
inform,south,inform
request,can i have the phone number,inform
inform,food,inform
inform,seafood,inform
request,price range,inform
thankyou,thank you goodbye,inform
,what,inform
affirm,yes,inform
request,kay can i get their phone number please,inform
thankyou,okay ah i think thatll do it thank you and goodbye,inform
inform,i dont care,inform
thankyou,thank you good bye,inform
affirm,ah yes can i get a restaurant that serves french food,inform
affirm,ah yes that serves french food,inform
ack,kay,inform
ack,kay,inform
inform,any type of food,inform
inform,any food,inform
request,can i have the post code,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,looking for an expensive restaurant that serves,inform
reqalts,uh what about chinese food,inform
request,can i get the phone number,inform
,sil,inform
thankyou,thank you good bye,inform
request,what is the address,inform
request,what is the area,inform
reqalts,how about asian oriental,inform
request,i need the address and phone number,inform
request,whats the address,inform
inform,expensive,inform
request,whats the phone number,inform
thankyou,thank you good bye,inform
bye,good bye,inform
inform,doesnt matter,inform
request,what type of food,inform
inform,do you have any asian oriental food,inform
request,whats the phone number,inform
request,what area,inform
inform,north,inform
request,what area of town,inform
request,can i have the address and phone number please,inform
inform,restaurant,inform
reqalts,how about indian food,inform
inform,italian food,inform
inform,any,inform
affirm,yes,inform
request,phone number,inform
request,phone number,inform
thankyou,thank you goodbye,inform
inform,im looking for a restaurant that serves african food,inform
request,can i have the address,inform
inform,i need an expensive restaurant that serves afghan food,inform
inform,need a restaurant serving brazilian food,inform
inform,doesnt matter,inform
reqalts,how about turkish,inform
reqalts,anything else,inform
inform,um i dont care about the price,inform
request,what price range,inform
request,phone number,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
inform,i want a cheap hungarian food restaurant,inform
request,what is the address,inform
inform,gastropub,inform
inform,i dont care about the price range,inform
inform,im looking for a moderately priced restaurant that serves canapes,inform
inform,korean food,inform
request,where are they located,inform
inform,are there any that serves portuguese food,inform
inform,are there any that serves portuguese food,inform
affirm,yes,inform
affirm,yes do you have one with chinese,inform
thankyou,thank you good bye,inform
request,kay and ah where is it located,inform
thankyou,okay thank you and goodbye,inform
inform,dont care,inform
negate,no the north,inform
thankyou,thank you,inform
inform,i need a cheap restaurant in the west part of town,inform
inform,turkish food,inform
reqalts,what about any area,inform
,i need,inform
inform,i need a place that serves spanish food,inform
request,the address,inform
request,phone number,inform
request,what is the address,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
thankyou,thank you good bye,inform
request,phone number,inform
inform,doesnt matter,inform
inform,i would like it to be cheap,inform
inform,turkish,inform
thankyou,thank you good bye,inform
bye,good bye,inform
inform,expensive mexican,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,dont care,inform
reqalts,anything else gastropub,inform
inform,persian,inform
request,expensive price restaurant,inform
hello,hello im looking for a cheap,inform
inform,i dont care,inform
,serve,inform
thankyou,thank you good bye,inform
inform,i need a moderately priced restaurant serving world food,inform
request,what is the phone number,inform
request,can i have the address,inform
request,can i have the phone number,inform
inform,looking for an expensive restaurant in the east of town,inform
affirm,ah yes,inform
negate,no portuguese,inform
request,okay and ah can i get their phone number please,inform
thankyou,thank you good bye,inform
request,what part of town,inform
inform,french food,inform
reqalts,is there anything else,inform
affirm,yes,inform
request,what kind of food does it serve,inform
inform,im looking for a moderately,inform
request,what is a phone number,inform
thankyou,thank you good bye,inform
inform,serving catalan food,inform
request,address phone number price range,inform
request,price range,inform
request,may i have the address and phone number,inform
inform,south,inform
reqalts,anything else,inform
thankyou,thank you good bye,inform
inform,malaysian,inform
inform,moderately,inform
inform,moderate,inform
request,can i get the address and phone number,inform
inform,expensive restaurant,inform
inform,portuguese,inform
negate,no,inform
request,address,inform
inform,anything,inform
inform,cheap,inform
request,what is the phone number,inform
inform,dont care,inform
thankyou,thank you good bye,inform
request,what kind of food,inform
request,what area of town,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
inform,portuguese food,inform
request,phone number,inform
thankyou,thank you good bye,inform
request,and whats their phone number,inform
thankyou,thank you good bye,inform
inform,canapes food,inform
reqalts,uh is there any restaurant that serves indian food,inform
thankyou,thank you good bye,inform
request,address,inform
