dialog_act,utterance,prediction
request,postcode,request
inform,cheap,inform
request,can i get the address and phone number,request
no dialog,hello welcome to the cambridge system,inform
inform,north,inform
inform,scottish,inform
inform,i need one in the cheap price range,inform
inform,doesnt matter,inform
request,what is the post code,request
no dialog,noise,no dialog
inform,any,inform
request,type of food,request
request,address,request
request,phone number,request
request,phone number,request
inform,european,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the center serving greek food,inform
request,what is the address and phone number,request
inform,south,inform
request,do you have the address,request
inform,i dont care,inform
request,what is the address and phone number,request
inform,european restaurant,inform
inform,christmas food,inform
inform,moderate price in south,inform
thankyou,thank you goodbye,thankyou
request,can i get the address,request
inform,mexican food,inform
inform,i want to find a restaurant in the south part of town,inform
reqalts,how about gastro pub,reqalts
request,and the post code,request
affirm,yes,affirm
reqalts,how about italian food,reqalts
affirm,yes,affirm
affirm,yes,affirm
no dialog,cough,no dialog
request,may i have the phone number and address,request
thankyou,thank you good bye,thankyou
inform,i want to find moderately priced restaurant it should be,inform
no dialog,unintelligible,no dialog
no dialog,tv_noise,no dialog
request,phone number,request
reqalts,anything else,reqalts
inform,im moderate priced restaurant in the north part of town,inform
affirm,yes,affirm
request,what type of food,request
inform,i dont care,inform
inform,im looking for an moderately restaurant and it should be in the south part of town,inform
request,may i have the postcode,request
reqalts,is there anything else,reqalts
no dialog,sil,no dialog
thankyou,thank you,thankyou
thankyou,thank you bye thank you bye,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you very much good bye,bye
reqalts,what about indian food,reqalts
inform,doesnt matter,inform
inform,creative food,inform
reqalts,um how about a restaurant in the center with int,reqalts
reqalts,how about indian food,reqalts
request,can i have their address please,request
inform,christmas food,inform
reqalts,how about asian oriental type of food,reqalts
inform,in the north part of town,inform
request,what is the phone number,request
request,phone number,request
bye,okay thank you and good bye,bye
affirm,yes,affirm
request,uh whats the address,request
request,what about the phone number,request
request,and the phone number,request
inform,im looking for a restaurant in the south part of town that,inform
inform,cheap restaurant,inform
inform,pan asian,inform
request,may i have the address,request
inform,so i dont care whats the address,inform
request,what area of town is it,request
affirm,yes expensive,affirm
request,phone number,request
inform,south,inform
inform,restaurant in the north part of town that serves,inform
thankyou,thank you good bye,thankyou
inform,south,inform
inform,any,inform
inform,indian food,inform
confirm,does it serve kosher food,confirm
inform,im looking for a restaurant that serves romanian food,inform
affirm,yes,affirm
inform,uh the south,inform
affirm,correct,affirm
inform,can i get a restaurant in the east part of town that serves italian food,inform
no dialog,child,no dialog
request,phone number,request
thankyou,thank you good bye,thankyou
request,what type of food,request
thankyou,thank you good bye,thankyou
request,can i get the address,request
request,address,request
inform,anywhere,inform
thankyou,thank you good bye,thankyou
inform,moderately priced,inform
request,phone number,request
request,address,request
inform,can i find a restaurant in the south that is moderately priced,inform
negate,no,negate
inform,italian food,inform
thankyou,thank you,thankyou
no dialog,worthless system,no dialog
affirm,yes,affirm
repeat,again please,repeat
request,address,request
no dialog,re,no dialog
thankyou,thank,thankyou
inform,greek,inform
request,whats the price range again,request
thankyou,thank you,thankyou
reqalts,what is there anything else,reqalts
inform,i want a cheap restaurant in the east part of town,inform
inform,austrian,inform
inform,austrian,inform
request,what type of food,request
request,what is the price range,request
request,and the phone number,request
inform,in the east part of town,inform
inform,im looking for a cheap restaurant,inform
request,whats the address,request
no dialog,unintelligible,no dialog
inform,moderately priced restaurants,inform
